Month,EscrowName,Deposits,Payments,Notes
2024-08-01,Real Estate Taxes,17077.08,0,
2024-08-01,Property Insurance,8403.58,0,
2024-08-01,Capital Reserves,2550,0,
2024-09-01,Real Estate Taxes,17077.08,0,
2024-09-01,Property Insurance,8403.58,0,
2024-09-01,Capital Reserves,2550,0,
2024-10-01,Real Estate Taxes,17077.08,0,
2024-10-01,Property Insurance,8403.58,0,
2024-10-01,Capital Reserves,2550,0,
2024-11-01,Real Estate Taxes,17077.08,0,
2024-11-01,Property Insurance,8403.58,0,
2024-11-01,Capital Reserves,2550,0,
2024-12-01,Real Estate Taxes,17077.08,0,
2024-12-01,Property Insurance,8403.58,0,
2024-12-01,Capital Reserves,2550,0,
2025-01-01,Real Estate Taxes,17077.08,0,
2025-01-01,Property Insurance,8403.58,0,
2025-01-01,Capital Reserves,2550,0,
2025-02-01,Real Estate Taxes,17077.08,0,
2025-02-01,Property Insurance,8403.58,0,
2025-02-01,Capital Reserves,2550,0,
2025-03-01,Real Estate Taxes,17077.08,0,
2025-03-01,Property Insurance,8403.58,0,
2025-03-01,Capital Reserves,2550,0,
2025-04-01,Real Estate Taxes,17077.08,0,
2025-04-01,Property Insurance,8403.58,0,
2025-04-01,Capital Reserves,2550,0,
2025-05-01,Real Estate Taxes,17077.08,0,
2025-05-01,Property Insurance,8403.58,0,
2025-05-01,Capital Reserves,2550,0,
2025-06-01,Real Estate Taxes,17077.08,0,
2025-06-01,Property Insurance,8403.58,0,
2025-06-01,Capital Reserves,2550,0,
2025-07-01,Real Estate Taxes,17077.08,0,
2025-07-01,Property Insurance,8403.58,0,
2025-07-01,Capital Reserves,2550,0,
2025-08-01,Real Estate Taxes,17077.08,0,
2025-08-01,Property Insurance,8403.58,0,
2025-08-01,Capital Reserves,2550,0,
2025-09-01,Real Estate Taxes,17077.08,0,
2025-09-01,Property Insurance,8403.58,0,
2025-09-01,Capital Reserves,2550,0,
2025-10-01,Real Estate Taxes,17077.08,0,
2025-10-01,Property Insurance,8403.58,0,
2025-10-01,Capital Reserves,2550,0,
2025-11-01,Real Estate Taxes,17077.08,0,
2025-11-01,Property Insurance,8403.58,0,
2025-11-01,Capital Reserves,2550,0,
2025-12-01,Real Estate Taxes,17077.08,0,
2025-12-01,Property Insurance,8403.58,0,
2025-12-01,Capital Reserves,2550,0,
2024-12-01,Real Estate Taxes,0,204925,Annual tax payment
EscrowName,TargetBalance,0,0,
Real Estat,46244.76,0,0,
Property I,80409.86,0,0,
Capital Re,121446.65,0,0,
